127.0.0.1 - - [02/Jul/2016:15:31:10 +0300] "GET / HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:36:04 +0300] "GET /IntelligentInventory/ HTTP/1.1" 200 1699
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:36:04 +0300] "GET /IntelligentInventory/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:36:04 +0300] "GET /IntelligentInventory/resources/jQuery/jQuery-2.2.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:36:04 +0300] "GET /IntelligentInventory/resources/blue.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:36:04 +0300] "GET /IntelligentInventory/resources/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:36:04 +0300] "GET /IntelligentInventory/resources/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:36:04 +0300] "GET /IntelligentInventory/resources/js/icheck.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:36:04 +0300] "GET /favicon.ico HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:38:33 +0300] "GET /IntelligentInventory/ HTTP/1.1" 200 1832
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:38:33 +0300] "GET /IntelligentInventory/resources/images/Logo.png HTTP/1.1" 200 140173
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:38:33 +0300] "GET /IntelligentInventory/resources/images/Logo2.png HTTP/1.1" 200 35954
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:41:08 +0300] "GET /IntelligentInventory/ HTTP/1.1" 200 1899
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:41:08 +0300] "GET /IntelligentInventory/resources/images/Logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:41:08 +0300] "GET /IntelligentInventory/resources/images/Logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:41:08 +0300] "GET /IntelligentInventory/resources/images/Logo3.png HTTP/1.1" 200 35571
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:42:41 +0300] "GET /IntelligentInventory/ HTTP/1.1" 200 1899
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:42:41 +0300] "GET /IntelligentInventory/resources/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:42:41 +0300] "GET /IntelligentInventory/resources/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:42:41 +0300] "GET /IntelligentInventory/resources/jQuery/jQuery-2.2.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:42:41 +0300] "GET /IntelligentInventory/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:42:41 +0300] "GET /IntelligentInventory/resources/js/icheck.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:42:41 +0300] "GET /IntelligentInventory/resources/blue.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:42:41 +0300] "GET /IntelligentInventory/resources/images/Logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:42:42 +0300] "GET /IntelligentInventory/resources/images/Logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:42:42 +0300] "GET /IntelligentInventory/resources/images/Logo3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:43:29 +0300] "GET /IntelligentInventory/ HTTP/1.1" 200 1832
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:43:30 +0300] "GET /IntelligentInventory/resources/blue.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:43:30 +0300] "GET /IntelligentInventory/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:43:30 +0300] "GET /IntelligentInventory/resources/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:43:30 +0300] "GET /IntelligentInventory/resources/jQuery/jQuery-2.2.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:43:30 +0300] "GET /IntelligentInventory/resources/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:43:30 +0300] "GET /IntelligentInventory/resources/js/icheck.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:43:30 +0300] "GET /IntelligentInventory/resources/images/Logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:43:30 +0300] "GET /IntelligentInventory/resources/images/Logo3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:43:30 +0300] "GET /IntelligentInventory/resources/images/Logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:43:30 +0300] "GET /IntelligentInventory/resources/images/Logo3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:43:43 +0300] "GET /IntelligentInventory/ HTTP/1.1" 200 1832
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:43:43 +0300] "GET /IntelligentInventory/resources/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:43:43 +0300] "GET /IntelligentInventory/resources/blue.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:43:43 +0300] "GET /IntelligentInventory/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:43:43 +0300] "GET /IntelligentInventory/resources/jQuery/jQuery-2.2.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:43:43 +0300] "GET /IntelligentInventory/resources/js/icheck.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:43:43 +0300] "GET /IntelligentInventory/resources/images/Logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:43:43 +0300] "GET /IntelligentInventory/resources/images/Logo3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:43:43 +0300] "GET /IntelligentInventory/resources/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:47:17 +0300] "GET /IntelligentInventory/ HTTP/1.1" 200 1832
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:47:17 +0300] "GET /IntelligentInventory/resources/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:47:17 +0300] "GET /IntelligentInventory/resources/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:47:17 +0300] "GET /IntelligentInventory/resources/blue.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:47:17 +0300] "GET /IntelligentInventory/resources/jQuery/jQuery-2.2.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:47:17 +0300] "GET /IntelligentInventory/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:47:17 +0300] "GET /IntelligentInventory/resources/js/icheck.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:47:17 +0300] "GET /IntelligentInventory/resources/images/Logo3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:47:17 +0300] "GET /IntelligentInventory/resources/images/Logo.png HTTP/1.1" 200 137282
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:47:37 +0300] "GET /IntelligentInventory/ HTTP/1.1" 200 1832
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:47:37 +0300] "GET /IntelligentInventory/resources/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:47:37 +0300] "GET /IntelligentInventory/resources/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:47:37 +0300] "GET /IntelligentInventory/resources/jQuery/jQuery-2.2.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:47:37 +0300] "GET /IntelligentInventory/resources/blue.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:47:37 +0300] "GET /IntelligentInventory/resources/js/icheck.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:47:37 +0300] "GET /IntelligentInventory/resources/images/Logo3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:47:37 +0300] "GET /IntelligentInventory/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:47:37 +0300] "GET /IntelligentInventory/resources/images/Logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:53:19 +0300] "GET /IntelligentInventory/ HTTP/1.1" 200 1899
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:53:19 +0300] "GET /IntelligentInventory/resources/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:53:19 +0300] "GET /IntelligentInventory/resources/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:53:19 +0300] "GET /IntelligentInventory/resources/images/Logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:53:19 +0300] "GET /IntelligentInventory/resources/blue.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:53:19 +0300] "GET /IntelligentInventory/resources/images/Logo3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:53:19 +0300] "GET /IntelligentInventory/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:53:19 +0300] "GET /IntelligentInventory/resources/js/icheck.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:53:19 +0300] "GET /IntelligentInventory/resources/jQuery/jQuery-2.2.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:53:19 +0300] "GET /IntelligentInventory/resources/images/Logo4.png HTTP/1.1" 200 34129
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:53:44 +0300] "GET /IntelligentInventory/ HTTP/1.1" 200 1766
0:0:0:0:0:0:0:1 - - [02/Jul/2016:15:53:44 +0300] "GET /IntelligentInventory/resources/style.css HTTP/1.1" 304 -
